Cohort,Day,MouseID,ID,Group,MouseLabel,BoutCount_Light,BoutCount_Dark,BoutCount_DarkLightRatio,BoutSpeed_Light_revPerMin,BoutSpeed_Dark_revPerMin,BoutSpeed_DarkLightRatio,Tau_hours,LS_Power,LS_Amplitude,LS_FalseAlarmProb
1,1,1,SC01,Control,SC01(Control),19,458,0.04,28.76,83.42,0.256,24.09,0.3154,32.57,1.0
1,1,2,LM45,SNr-DTA,LM45(SNr-DTA),41,643,0.06,48.5,83.74,0.367,23.86,0.3623,40.36,1.0
2,2,5,SC08,Control,SC08(Control),15,527,0.028,33.43,108.35,0.236,24.01,0.3965,49.58,1.0
3,3,1,SC09,SNr-DTA,SC09(SNr-DTA),10,339,0.029,20.98,82.11,0.203,23.77,0.1998,24.18,1.0
3,3,2,SC10,SNr-DTA,SC10(SNr-DTA),30,617,0.046,31.53,69.05,0.314,23.92,0.1801,19.74,1.0
3,3,3,SC11,SNr-DTA,SC11(SNr-DTA),13,405,0.031,19.24,83.73,0.187,23.77,0.1987,28.1,1.0
3,3,4,SC12,SNr-DTA,SC12(SNr-DTA),11,419,0.026,39.28,81.3,0.326,23.83,0.261,32.45,1.0
3,3,5,SC13,Control,SC13(Control),31,581,0.051,29.16,44.63,0.395,24.09,0.0533,5.02,1.0
3,3,6,SC14,Control,SC14(Control),7,429,0.016,56.37,76.69,0.424,23.95,0.1131,15.24,1.0
3,3,7,SC15,Control,SC15(Control),20,459,0.042,40.34,85.72,0.32,23.87,0.3677,43.2,1.0
4,4,1,SC29,SNr-DTA,SC29(SNr-DTA),71,436,0.14,25.66,74.47,0.256,23.98,0.3021,33.21,1.0
4,4,2,SC30,SNr-DTA,SC30(SNr-DTA),10,327,0.03,25.0,75.43,0.249,23.99,0.2277,26.02,1.0
4,4,3,SC31,SNr-DTA,SC31(SNr-DTA),28,473,0.056,33.89,80.64,0.296,23.94,0.2225,25.58,1.0
4,4,4,SC32,SNr-DTA,SC32(SNr-DTA),116,489,0.192,26.83,73.55,0.267,23.9,0.1675,18.9,1.0
4,4,5,SC33,Control,SC33(Control),13,531,0.024,39.98,70.25,0.363,24.01,0.123,16.51,1.0
4,4,6,SC34,Control,SC34(Control),18,255,0.066,30.04,63.72,0.32,23.77,0.0653,7.43,1.0
