Cohort,ID,Sex,Litter,DOB,Vgat,Ai6,DateOnWheel,AgeOnWheel(days),AgeOnWheel(month),weightgain00_1m,weightgain_100%,Group,FinalDay,FinalCumulativeDistance_km
1,SC01,F,1,11/9/2024,,,7/23/2025,256,8.533333333,0.003322259,0.332225914,Control,21.0,146.35199999999998
1,LM45,M,1,11/9/2024,,,7/23/2025,256,8.533333333,-0.04731252,-4.731252012,,,
2,SC04,M,2,8/1/2025, +/-,,12/16/2025,137,4.566666667,0.093877551,9.387755102,,,
2,SC05,M,2,8/1/2025, +/-,,12/16/2025,137,4.566666667,0.062745098,6.274509804,,,
2,SC06,F,3,7/9/2025, +/-,,12/16/2025,160,5.333333333,0.067708333,6.770833333,,,
2,SC08,M,4,7/8/2025, +/-,,12/16/2025,161,5.366666667,0.040740741,4.074074074,Control,21.0,232.45999999999998
3,SC09,M,5,7-Sep, +/-, +/-,2/9/2026,155,5.166666667,0.143518519,14.35185185,SNr-DTA,21.0,107.19
3,SC10,M,5,7-Sep, +/-, +/-,2/9/2026,155,5.166666667,0.201005025,20.10050251,SNr-DTA,21.0,96.163
3,SC11,F,2,8/1/2025, +/-,,2/9/2026,192,6.4,0.039215686,3.921568627,SNr-DTA,21.0,137.016
3,SC12,M,4,7/8/2025, +/+,,2/9/2026,216,7.2,0.21319797,21.31979695,SNr-DTA,21.0,163.84600000000003
3,SC13,F,2,8/1/2025, +/+,,2/9/2026,192,6.4,0.020661157,2.066115702,Control,21.0,32.764
3,SC14,M,5,7-Sep, -/-, +/-,2/9/2026,155,5.166666667,0.052401747,5.240174672,Control,21.0,81.92399999999999
3,SC15,M,5,7-Sep, -/-, +/-,2/9/2026,155,5.166666667,,,Control,21.0,215.10699999999997
4,SC29,M,6,11/3/2025, +/-,,3/11/2026,128,4.266666667,0.073529412,7.352941176,SNr-DTA,21.0,152.01500000000001
4,SC30,M,6,11/3/2025, +/-,,3/11/2026,128,4.266666667,0.182741117,18.27411168,SNr-DTA,21.0,119.97500000000001
4,SC31,F,7,10/2/2025, +/-,,3/11/2026,160,5.333333333,0.02955665,2.955665025,SNr-DTA,21.0,149.616
4,SC32,F,7,10/2/2025, +/-,,3/11/2026,160,5.333333333,0.014925373,1.492537313,SNr-DTA,21.0,108.28599999999999
4,SC33,F,7,10/2/2025, +/-,,3/11/2026,160,5.333333333,0.052910053,5.291005291,Control,21.0,102.76900000000002
4,SC34,M,7,10/2/2025, +/-,,3/11/2026,160,5.333333333,0.084942085,8.494208494,Control,21.0,40.425
