MouseID,MouseLabel,DayIndex,TotalBoutTime_min,MostFrequentBoutDuration_min,NumberOfBouts,MeanRevsIngBoutWindow
1,SC01(Control),0,192,1,71,29.208333333333332
1,SC01(Control),1,181,1,54,37.232044198895025
1,SC01(Control),2,187,1,58,42.149732620320854
1,SC01(Control),3,253,2,62,52.055335968379445
1,SC01(Control),4,319,3,61,61.71786833855799
1,SC01(Control),5,305,4,52,66.03934426229509
1,SC01(Control),6,246,6,37,75.14634146341463
1,SC01(Control),7,263,4,45,72.55133079847909
1,SC01(Control),8,295,4,48,73.09152542372881
1,SC01(Control),9,310,4,38,80.90322580645162
1,SC01(Control),10,291,4,46,83.05498281786942
1,SC01(Control),11,219,1,32,81.80365296803653
1,SC01(Control),12,284,7,40,84.1830985915493
1,SC01(Control),13,270,5,36,91.86296296296297
1,SC01(Control),14,261,8,32,95.816091954023
1,SC01(Control),15,226,8,22,100.47787610619469
1,SC01(Control),16,313,3,36,99.33226837060703
1,SC01(Control),17,350,2,31,105.49714285714286
1,SC01(Control),18,314,6,39,100.64649681528662
1,SC01(Control),19,433,1,30,108.54272517321016
1,SC01(Control),20,281,9,24,110.8185053380783
1,SC01(Control),21,216,8,23,105.59722222222223
1,SC01(Control),22,176,4,23,99.27272727272727
1,SC01(Control),23,159,1,22,100.89308176100629
1,SC01(Control),24,171,1,19,104.35672514619883
1,SC01(Control),25,144,1,18,93.64583333333333
1,SC01(Control),26,163,2,31,78.59509202453988
1,SC01(Control),27,79,1,8,94.82278481012658
1,SC01(Control),28,109,1,9,90.43119266055047
1,SC01(Control),29,114,5,15,94.58771929824562
1,SC01(Control),30,11,2,5,25.636363636363637
1,SC01(Control),31,0,0,0,0.0
1,SC01(Control),32,0,0,0,0.0
1,SC01(Control),33,0,0,0,0.0
1,SC01(Control),34,0,0,0,0.0
1,SC01(Control),35,0,0,0,0.0
1,SC01(Control),36,0,0,0,0.0
1,SC01(Control),37,0,0,0,0.0
1,SC01(Control),38,0,0,0,0.0
1,SC01(Control),39,0,0,0,0.0
1,SC01(Control),40,0,0,0,0.0
1,SC01(Control),41,0,0,0,0.0
1,SC01(Control),42,0,0,0,0.0
2,LM45(SNr-DTA),0,113,1,47,23.8141592920354
2,LM45(SNr-DTA),1,190,1,58,30.74736842105263
2,LM45(SNr-DTA),2,264,3,54,42.09469696969697
2,LM45(SNr-DTA),3,338,2,58,45.72781065088758
2,LM45(SNr-DTA),4,360,6,50,58.3
2,LM45(SNr-DTA),5,233,6,33,62.00429184549356
2,LM45(SNr-DTA),6,274,11,26,67.7919708029197
2,LM45(SNr-DTA),7,274,4,33,73.83941605839416
2,LM45(SNr-DTA),8,425,4,67,67.84
2,LM45(SNr-DTA),9,403,3,54,70.20347394540943
2,LM45(SNr-DTA),10,465,5,56,80.14838709677419
2,LM45(SNr-DTA),11,478,4,60,81.3744769874477
2,LM45(SNr-DTA),12,517,2,62,84.00386847195358
2,LM45(SNr-DTA),13,454,3,50,92.9669603524229
2,LM45(SNr-DTA),14,506,3,46,100.7707509881423
2,LM45(SNr-DTA),15,434,4,44,104.01152073732719
2,LM45(SNr-DTA),16,495,11,40,103.86666666666666
2,LM45(SNr-DTA),17,386,5,50,106.78497409326425
2,LM45(SNr-DTA),18,340,5,40,111.44117647058823
2,LM45(SNr-DTA),19,343,2,37,109.7930029154519
2,LM45(SNr-DTA),20,345,2,40,108.61159420289854
2,LM45(SNr-DTA),21,363,4,36,112.89256198347107
2,LM45(SNr-DTA),22,303,1,37,107.97029702970298
2,LM45(SNr-DTA),23,226,7,30,87.89380530973452
2,LM45(SNr-DTA),24,285,2,37,91.61754385964912
2,LM45(SNr-DTA),25,188,2,35,78.15425531914893
2,LM45(SNr-DTA),26,207,1,44,65.10628019323671
2,LM45(SNr-DTA),27,119,3,28,76.7983193277311
2,LM45(SNr-DTA),28,161,1,24,79.40372670807453
2,LM45(SNr-DTA),29,225,3,29,89.8711111111111
2,LM45(SNr-DTA),30,78,1,11,90.24358974358974
2,LM45(SNr-DTA),31,0,0,0,0.0
2,LM45(SNr-DTA),32,0,0,0,0.0
2,LM45(SNr-DTA),33,0,0,0,0.0
2,LM45(SNr-DTA),34,0,0,0,0.0
2,LM45(SNr-DTA),35,0,0,0,0.0
2,LM45(SNr-DTA),36,0,0,0,0.0
2,LM45(SNr-DTA),37,0,0,0,0.0
2,LM45(SNr-DTA),38,0,0,0,0.0
2,LM45(SNr-DTA),39,0,0,0,0.0
2,LM45(SNr-DTA),40,0,0,0,0.0
2,LM45(SNr-DTA),41,0,0,0,0.0
2,LM45(SNr-DTA),42,0,0,0,0.0
3,SC02(GPi-DTA),0,258,1,111,18.670542635658915
3,SC02(GPi-DTA),1,370,1,164,20.372972972972974
3,SC02(GPi-DTA),2,344,1,148,19.72093023255814
3,SC02(GPi-DTA),3,417,1,153,19.87769784172662
3,SC02(GPi-DTA),4,524,1,202,19.47328244274809
3,SC02(GPi-DTA),5,649,1,103,27.70261941448382
3,SC02(GPi-DTA),6,670,1,75,31.32537313432836
3,SC02(GPi-DTA),7,668,1,90,30.013473053892216
3,SC02(GPi-DTA),8,683,1,149,26.00878477306003
3,SC02(GPi-DTA),9,461,1,92,26.31236442516269
3,SC02(GPi-DTA),10,560,7,69,32.816071428571426
3,SC02(GPi-DTA),11,517,1,90,32.866537717601545
3,SC02(GPi-DTA),12,658,1,92,34.79331306990881
3,SC02(GPi-DTA),13,540,1,58,36.97222222222222
3,SC02(GPi-DTA),14,652,1,67,41.719325153374236
3,SC02(GPi-DTA),15,578,4,59,43.53287197231834
3,SC02(GPi-DTA),16,375,1,82,34.18666666666667
3,SC02(GPi-DTA),17,302,1,127,24.225165562913908
3,SC02(GPi-DTA),18,354,1,145,23.533898305084747
3,SC02(GPi-DTA),19,376,1,138,21.18351063829787
3,SC02(GPi-DTA),20,438,1,119,27.228310502283104
3,SC02(GPi-DTA),21,494,2,83,37.4331983805668
3,SC02(GPi-DTA),22,496,2,85,42.034274193548384
3,SC02(GPi-DTA),23,423,1,73,36.91252955082742
3,SC02(GPi-DTA),24,339,1,61,33.584070796460175
3,SC02(GPi-DTA),25,342,1,81,33.45614035087719
3,SC02(GPi-DTA),26,335,1,119,27.52537313432836
3,SC02(GPi-DTA),27,270,1,82,35.98888888888889
3,SC02(GPi-DTA),28,371,1,89,40.11590296495957
3,SC02(GPi-DTA),29,362,2,49,44.35911602209945
3,SC02(GPi-DTA),30,168,1,43,42.458333333333336
3,SC02(GPi-DTA),31,0,0,0,0.0
3,SC02(GPi-DTA),32,0,0,0,0.0
3,SC02(GPi-DTA),33,0,0,0,0.0
3,SC02(GPi-DTA),34,0,0,0,0.0
3,SC02(GPi-DTA),35,0,0,0,0.0
3,SC02(GPi-DTA),36,0,0,0,0.0
3,SC02(GPi-DTA),37,0,0,0,0.0
3,SC02(GPi-DTA),38,0,0,0,0.0
3,SC02(GPi-DTA),39,0,0,0,0.0
3,SC02(GPi-DTA),40,0,0,0,0.0
3,SC02(GPi-DTA),41,0,0,0,0.0
3,SC02(GPi-DTA),42,0,0,0,0.0
