MouseID,MouseLabel,DayIndex,TotalBoutTime_min,MostFrequentBoutDuration_min,NumberOfBouts,MeanRevsIngBoutWindow
1,SC29(SNr-DTA),8,367,2,38,90.6866485013624
1,SC29(SNr-DTA),9,354,1,45,89.31920903954803
1,SC29(SNr-DTA),10,324,2,41,88.77160493827161
1,SC29(SNr-DTA),11,281,1,32,88.70818505338079
1,SC29(SNr-DTA),12,355,1,47,95.2394366197183
1,SC29(SNr-DTA),13,334,1,43,94.96407185628742
1,SC29(SNr-DTA),14,303,1,56,81.56435643564356
1,SC29(SNr-DTA),15,275,1,35,102.97090909090909
1,SC29(SNr-DTA),16,212,1,31,93.58018867924528
1,SC29(SNr-DTA),17,218,11,28,103.57798165137615
1,SC29(SNr-DTA),18,271,4,26,109.25461254612546
1,SC29(SNr-DTA),19,252,2,27,108.96825396825396
1,SC29(SNr-DTA),20,290,1,28,113.26896551724138
1,SC29(SNr-DTA),21,265,11,27,109.1245283018868
1,SC29(SNr-DTA),22,19,4,5,56.73684210526316
2,SC30(SNr-DTA),8,259,2,23,87.66409266409266
2,SC30(SNr-DTA),9,250,1,22,87.772
2,SC30(SNr-DTA),10,251,5,24,88.28286852589642
2,SC30(SNr-DTA),11,215,3,23,91.27441860465116
2,SC30(SNr-DTA),12,220,3,18,104.67272727272727
2,SC30(SNr-DTA),13,240,2,22,96.50833333333334
2,SC30(SNr-DTA),14,238,1,21,108.82352941176471
2,SC30(SNr-DTA),15,199,1,32,85.20100502512562
2,SC30(SNr-DTA),16,203,1,26,97.42857142857143
2,SC30(SNr-DTA),17,238,1,24,105.0
2,SC30(SNr-DTA),18,227,1,23,106.0748898678414
2,SC30(SNr-DTA),19,262,2,24,104.71374045801527
2,SC30(SNr-DTA),20,207,1,27,104.80193236714976
2,SC30(SNr-DTA),21,236,1,28,94.72033898305085
2,SC30(SNr-DTA),22,19,1,4,46.89473684210526
3,SC31(SNr-DTA),8,363,11,37,81.62258953168045
3,SC31(SNr-DTA),9,294,1,31,84.9795918367347
3,SC31(SNr-DTA),10,292,9,34,78.98287671232876
3,SC31(SNr-DTA),11,370,13,40,81.9054054054054
3,SC31(SNr-DTA),12,382,2,40,84.71989528795811
3,SC31(SNr-DTA),13,339,6,33,85.19469026548673
3,SC31(SNr-DTA),14,356,2,56,88.37640449438203
3,SC31(SNr-DTA),15,254,5,38,87.05511811023622
3,SC31(SNr-DTA),16,396,4,37,99.91414141414141
3,SC31(SNr-DTA),17,333,4,28,92.63063063063063
3,SC31(SNr-DTA),18,302,5,32,86.45033112582782
3,SC31(SNr-DTA),19,266,3,31,84.00751879699249
3,SC31(SNr-DTA),20,336,4,32,88.24702380952381
3,SC31(SNr-DTA),21,270,4,31,84.77777777777777
