Cohort,ID,Group,MouseLabel,Day,BoutThreshold_revPerMin,BoutSpeed_revPerMin_mean,BoutSpeed_revPerMin_median,BoutDuration_minute_mean,BoutDuration_minute_median,InterBoutInterval_minute_mean,InterBoutInterval_minute_median,WithinBoutAcceleration_deltaRevPerMin_mean,WithinBoutAcceleration_deltaRevPerMin_median
1,LM45,SNr-DTA,LM45(SNr-DTA),8 - 21,10,81.7166,81.5,8.7302,7.0,22.0823,3.0,1.4221,2.0
1,SC01,Control,SC01(Control),8 - 21,10,81.2416,88.4286,8.5178,7.0,35.041,4.0,0.7312,2.0
2,SC08,Control,SC08(Control),8 - 21,10,106.3598,117.8036,9.5352,9.0,29.3327,4.0,0.6405,1.0
3,SC09,SNr-DTA,SC09(SNr-DTA),8 - 21,10,80.3604,90.0,8.0831,6.0,42.5582,5.0,0.6664,1.0
3,SC10,SNr-DTA,SC10(SNr-DTA),8 - 21,10,67.289,70.3333,4.9628,4.0,26.2662,5.0,1.3516,2.0
3,SC11,SNr-DTA,SC11(SNr-DTA),8 - 21,10,81.7204,87.4524,8.0861,6.5,36.8441,4.0,0.2344,2.0
3,SC12,SNr-DTA,SC12(SNr-DTA),8 - 21,10,80.3744,93.4562,10.3178,8.0,36.5966,4.0,0.7854,3.0
3,SC13,Control,SC13(Control),8 - 21,10,43.7974,45.3667,2.9557,3.0,29.1124,5.0,0.2097,-1.0
3,SC14,Control,SC14(Control),8 - 21,10,76.4328,84.0,5.6975,5.0,35.0286,5.0,3.2174,4.0
3,SC15,Control,SC15(Control),8 - 21,10,83.8315,98.5161,11.2579,9.0,30.8683,5.0,0.6454,1.0
4,SC29,SNr-DTA,SC29(SNr-DTA),8 - 21,10,67.6604,73.1154,8.1369,5.0,33.4367,6.0,0.3804,1.0
4,SC30,SNr-DTA,SC30(SNr-DTA),8 - 21,10,73.9294,83.5833,9.6291,6.0,43.7926,5.0,0.839,1.0
4,SC31,SNr-DTA,SC31(SNr-DTA),8 - 21,10,78.0645,83.4083,9.106,8.0,31.9774,7.0,0.3446,1.0
4,SC32,SNr-DTA,SC32(SNr-DTA),8 - 21,10,64.491,74.4,6.194,5.0,28.7945,6.0,1.0242,2.0
4,SC33,Control,SC33(Control),8 - 21,10,69.5798,73.1603,6.137,5.0,32.2186,5.0,1.1512,3.0
4,SC34,Control,SC34(Control),8 - 21,10,61.6576,65.5714,5.5535,4.0,63.5058,4.0,1.2846,4.0
