Cohort,ID, Group,BoutCount_Light,BoutCount_Dark,BoutCount_DarkLightRatio,BoutSpeed_Light_revPerMin,BoutSpeed_Dark_revPerMin,BoutSpeed_DarkLightRatio,Tau_hours,LS_Power,LS_Amplitude,LS_FalseAlarmProb
1,LM45,SNr-DTA,41,643,15.683,48.5,83.74,1.727,23.86,0.3623,40.36,1
1,SC01,Control,19,458,24.105,28.76,83.42,2.901,24.09,0.3154,32.57,1
2,SC04,SNr-DTA,9,638,70.889,45.28,81.81,1.807,23.99,0.2832,31.11,1
2,SC05,SNr-DTA,12,406,33.833,65.31,77.85,1.192,23.99,0.0849,13.33,1
2,SC06,SNr-DTA,47,291,6.191,37.98,81.29,2.14,23.98,0.2033,25.29,1
2,SC08,Control,15,527,35.133,33.43,108.35,3.24,24.01,0.3965,49.58,1
3,SC09,SNr-DTA,10,339,33.9,20.98,82.11,3.915,23.77,0.1998,24.18,1
3,SC10,SNr-DTA,30,617,20.567,31.53,69.05,2.19,23.92,0.1801,19.74,1
3,SC11,SNr-DTA,13,405,31.154,19.24,83.73,4.351,23.77,0.1987,28.1,1
3,SC12,SNr-DTA,11,419,38.091,39.28,81.3,2.07,23.83,0.261,32.45,1
3,SC13,Control,31,581,18.742,29.16,44.63,1.531,24.09,0.0533,5.02,1
3,SC14,Control,7,429,61.286,56.37,76.69,1.361,23.95,0.1131,15.24,1
3,SC15,Control,20,459,22.95,40.34,85.72,2.125,23.87,0.3677,43.2,1
4,SC29,SNr-DTA,71,436,6.141,25.66,74.47,2.903,23.98,0.3021,33.21,1
4,SC30,SNr-DTA,10,327,32.7,25,75.43,3.017,23.99,0.2277,26.02,1
4,SC31,SNr-DTA,28,473,16.893,33.89,80.64,2.379,23.94,0.2225,25.58,1
4,SC32,SNr-DTA,116,489,4.216,26.83,73.55,2.741,23.9,0.1675,18.9,1
4,SC33,Control,13,531,40.846,39.98,70.25,1.757,24.01,0.123,16.51,1
4,SC34,Control,18,255,14.167,30.04,63.72,2.121,23.77,0.0653,7.43,1
